Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,174.880005,177.199997,174.860001,176.419998,176.419998,29421100
2017-12-19,175.029999,175.389999,174.089996,174.539993,174.539993,27436400
2017-12-20,174.869995,175.419998,173.250000,174.350006,174.350006,23475600
2017-12-21,174.169998,176.020004,174.100006,175.009995,175.009995,20949900
2017-12-22,174.679993,175.419998,174.500000,175.009995,175.009995,16349400
2017-12-26,170.800003,171.470001,169.679993,170.570007,170.570007,33185500
2017-12-27,170.100006,170.779999,169.710007,170.600006,170.600006,21498200
2017-12-28,171.000000,171.850006,170.479996,171.080002,171.080002,16480200
2017-12-29,170.520004,170.589996,169.220001,169.229996,169.229996,25999900
2018-01-02,170.160004,172.300003,169.259995,172.259995,172.259995,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,172.229996,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,173.029999,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,175.000000,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,174.350006,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,174.330002,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,174.289993,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,175.279999,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,177.089996,25226000
2018-01-16,177.899994,178.149994,177.199997,177.910004,177.910004,2032818
