Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,86.301003,87.515999,86.301003,86.830002,86.830002,3656
2017-12-19,87.080002,87.691002,86.986000,87.230003,87.230003,2413
2017-12-20,87.499001,87.499001,86.800003,86.800003,86.800003,1366
2017-12-21,87.059998,88.003998,87.049004,87.709000,87.709000,3179
2017-12-22,87.689003,87.950996,87.026001,87.950996,87.950996,1592
2017-12-27,87.950996,88.499001,87.129997,87.389999,87.389999,2933
2017-12-28,87.510002,87.510002,87.000000,87.370003,87.370003,3129
2017-12-29,87.389999,87.389999,86.778999,87.060997,87.060997,1592
2018-01-02,87.060997,87.260002,84.180000,86.570000,86.570000,3712
2018-01-03,86.519997,87.309998,86.519997,87.139999,87.139999,2236
2018-01-04,87.290001,88.199997,87.290001,87.959999,87.959999,6319
2018-01-05,86.949997,88.709999,86.949997,88.370003,88.370003,11905
2018-01-08,89.070000,90.199997,89.070000,89.440002,89.440002,9490
2018-01-09,89.300003,90.650002,89.300003,90.379997,90.379997,9335
2018-01-10,89.820000,90.129997,88.820000,89.290001,89.290001,4051
2018-01-11,89.480003,89.480003,88.000000,89.019997,89.019997,2087
2018-01-12,89.220001,89.959999,89.190002,89.940002,89.940002,892
2018-01-16,89.589996,93.000000,89.589996,92.800003,92.800003,9205
