Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,71.300003,71.835999,71.277000,71.411003,71.411003,15172
2017-12-19,71.411003,71.620003,71.082001,71.082001,71.082001,10668
2017-12-20,71.273003,71.705002,70.879997,70.942001,70.942001,10523
2017-12-21,71.049004,71.605003,70.970001,71.367996,71.367996,11190
2017-12-22,71.225998,71.750000,71.000000,71.471001,71.471001,9133
2017-12-27,71.471001,72.004997,71.152000,71.299004,71.299004,39594
2017-12-28,71.086998,71.242996,70.794998,70.832001,70.832001,17494
2017-12-29,71.042999,71.042999,70.606003,70.725998,70.725998,5470
2018-01-02,70.725998,71.250000,69.500000,70.699997,70.699997,50093
2018-01-03,70.769997,71.540001,70.769997,71.250000,71.250000,15092
2018-01-04,71.309998,72.500000,71.309998,71.940002,71.940002,24196
2018-01-05,72.260002,72.980003,71.809998,72.860001,72.860001,30305
2018-01-08,73.029999,74.169998,73.029999,73.709999,73.709999,29711
2018-01-09,74.000000,74.709999,73.699997,74.300003,74.300003,21251
2018-01-10,74.080002,74.480003,73.800003,74.019997,74.019997,16775
2018-01-11,74.000000,74.129997,72.959999,73.849998,73.849998,19574
2018-01-12,73.980003,74.379997,73.800003,74.269997,74.269997,15722
2018-01-16,73.980003,74.980003,73.870003,74.720001,74.720001,15160
